striker,innings,total_runs,balls_faced,fours,sixes,dismissals,avg_pressure,strike_rate,average,boundary_rate
A Ashish Reddy,23,280,193,16,15,15,69.20937823834197,145.08,18.67,16.06
A Badoni,56,1177,834,96,47,46,54.3323860911271,141.13,25.59,17.15
A Chandila,2,4,7,0,0,1,85.5657142857143,57.14,4.0,0.0
A Chopra,6,53,71,7,0,5,20.776901408450705,74.65,10.6,9.86
A Choudhary,3,25,20,1,1,2,86.697,125.0,12.5,10.0
A Dananjaya,1,4,5,0,0,0,80.422,80.0,4.0,0.0
A Flintoff,3,62,53,5,2,2,46.61415094339623,116.98,31.0,13.21
A Kamboj,10,74,50,5,4,3,82.274,148.0,24.67,18.0
A Kumble,15,35,47,3,0,2,90.79659574468084,74.47,17.5,6.38
A Manohar,20,292,235,23,14,19,53.782000000000004,124.26,15.37,15.74
A Mhatre,13,440,239,51,23,12,24.941255230125524,184.1,36.67,30.96
A Mishra,55,380,417,31,5,30,72.46820143884892,91.13,12.67,8.63
A Mithun,6,34,26,4,1,5,79.43923076923078,130.77,6.8,19.23
A Mukund,2,19,22,1,0,2,16.655,86.36,9.5,4.55
A Nehra,17,39,60,3,1,8,90.60733333333333,65.0,4.88,6.67
A Nortje,14,49,50,6,0,6,91.0642,98.0,8.17,12.0
A Raghuvanshi,30,885,606,86,35,25,36.300148514851486,146.04,35.4,19.97
A Singh,5,2,9,0,0,4,86.08999999999999,22.22,0.5,0.0
A Symonds,36,973,745,74,41,25,45.62253691275168,130.6,38.92,15.44
A Tomar,1,4,8,1,0,1,35.5625,50.0,4.0,12.5
A Uniyal,2,4,7,0,0,1,79.26428571428572,57.14,4.0,0.0
A Zampa,5,15,24,1,0,5,78.33125,62.5,3.0,4.17
AA Bilakhia,7,69,84,5,0,5,39.04559523809524,82.14,13.8,5.95
AA Chavan,3,12,11,2,0,1,75.94272727272727,109.09,12.0,18.18
AA Jhunjhunwala,15,217,209,19,5,14,49.52641148325359,103.83,15.5,11.48
AA Kulkarni,4,26,33,3,0,4,16.387272727272727,78.79,6.5,9.09
AA Noffke,1,9,10,1,0,1,78.60499999999999,90.0,9.0,10.0
AB Agarkar,18,177,151,13,5,8,68.86331125827815,117.22,22.12,11.92
AB Barath,3,42,42,5,1,2,33.62238095238096,100.0,21.0,14.29
AB Dinda,16,26,48,2,0,9,91.11145833333335,54.17,2.89,4.17
AB McDonald,9,123,100,9,4,5,57.6906,123.0,24.6,13.0
AB de Villiers,170,5148,3400,412,250,125,41.82618529411765,151.41,41.18,19.47
AC Blizzard,7,120,90,21,2,7,18.355555555555554,133.33,17.14,25.56
AC Gilchrist,80,2046,1483,234,92,76,21.56211732973702,137.96,26.92,21.98
AC Thomas,4,20,19,1,1,2,87.66315789473684,105.26,10.0,10.53
AC Voges,7,181,143,15,3,6,59.78321678321678,126.57,30.17,12.59
AD Hales,6,147,117,13,6,6,23.67478632478632,125.64,24.5,16.24
AD Mascarenhas,11,79,78,5,1,10,61.913333333333334,101.28,7.9,7.69
AD Mathews,41,722,573,44,29,31,57.94687609075043,126.0,23.29,12.74
AD Nath,10,90,98,7,2,10,45.85918367346939,91.84,9.0,9.18
AD Russell,114,2632,1508,184,222,92,60.77856100795756,174.54,28.61,26.92
AF Milne,7,25,31,0,1,5,80.65612903225806,80.65,5.0,3.23
AG Murtaza,3,10,14,1,0,1,90.73785714285714,71.43,10.0,7.14
AG Paunikar,5,48,55,9,0,5,13.049454545454546,87.27,9.6,16.36
AJ Finch,90,2083,1626,214,77,84,29.9609963099631,128.11,24.8,17.9
AJ Hosein,3,21,13,1,1,0,77.1676923076923,161.54,21.0,15.38
AJ Turner,6,24,28,0,2,5,55.95964285714286,85.71,4.8,7.14
AJ Tye,13,91,75,6,5,8,77.95066666666666,121.33,11.38,14.67
AK Markram,66,1664,1228,131,67,55,37.39048859934853,135.5,30.25,16.12
AL Menaria,23,395,354,24,17,22,46.443079096045196,111.58,17.95,11.58
AM Ghazanfar,1,2,3,0,0,0,96.3,66.67,2.0,0.0
AM Nayar,50,664,573,54,20,39,50.4055497382199,115.88,17.03,12.91
AM Rahane,197,5365,4269,540,141,178,27.39174279690794,125.67,30.14,15.95
AN Ahmed,6,36,26,4,1,1,87.64846153846155,138.46,36.0,19.23
AN Ghosh,2,7,8,1,0,2,18.985,87.5,3.5,12.5
AP Dole,2,34,22,3,1,2,88.07181818181817,154.55,17.0,18.18
