striker,bowler,balls,runs,dismissals,dot_balls,fours,sixes,strike_rate,dot_pct,boundary_pct,batter_dominance
A Ashish Reddy,AD Mathews,12,25,0,2,1,2,208.3,16.7,25.0,2.083
A Ashish Reddy,DJ Bravo,13,24,1,4,3,1,184.6,30.8,30.8,1.384
A Ashish Reddy,R Vinay Kumar,10,14,2,2,0,1,140.0,20.0,10.0,0.2
A Badoni,AD Russell,13,22,0,0,0,1,169.2,0.0,7.7,1.692
A Badoni,AR Patel,11,11,0,2,0,0,100.0,18.2,0.0,1.0
A Badoni,AS Roy,11,22,1,4,1,2,200.0,36.4,27.3,1.455
A Badoni,Arshdeep Singh,19,21,1,7,2,0,110.5,36.8,10.5,0.789
A Badoni,Azmatullah Omarzai,21,45,0,7,3,4,214.3,33.3,33.3,2.143
A Badoni,CV Varun,19,20,1,8,1,1,105.3,42.1,10.5,0.737
A Badoni,DL Chahar,10,27,0,1,1,2,270.0,10.0,30.0,2.7
A Badoni,HH Pandya,14,20,1,5,2,1,142.9,35.7,21.4,1.0
A Badoni,JR Hazlewood,11,7,2,8,1,0,63.6,72.7,9.1,-0.455
A Badoni,KV Sharma,12,28,0,2,2,2,233.3,16.7,33.3,2.333
A Badoni,Kartik Tyagi,10,18,0,3,2,1,180.0,30.0,30.0,1.8
A Badoni,Kuldeep Yadav,14,13,1,4,0,0,92.9,28.6,0.0,0.5
A Badoni,LH Ferguson,14,23,0,4,1,2,164.3,28.6,21.4,1.643
A Badoni,M Jansen,24,44,0,7,5,2,183.3,29.2,29.2,1.833
A Badoni,M Pathirana,10,10,0,2,0,0,100.0,20.0,0.0,1.0
A Badoni,M Theekshana,18,35,0,3,1,2,194.4,16.7,16.7,1.944
A Badoni,MM Sharma,12,23,1,3,3,1,191.7,25.0,33.3,1.417
A Badoni,Mohammed Shami,11,16,0,4,1,1,145.5,36.4,18.2,1.455
A Badoni,Mohammed Siraj,21,21,0,11,3,0,100.0,52.4,14.3,1.0
A Badoni,Mukesh Kumar,24,43,1,8,8,0,179.2,33.3,33.3,1.542
A Badoni,PWH de Silva,13,14,0,4,0,1,107.7,30.8,7.7,1.077
A Badoni,R Shepherd,14,29,1,5,3,2,207.1,35.7,35.7,1.642
A Badoni,RA Jadeja,10,9,1,4,1,0,90.0,40.0,10.0,0.3
A Badoni,Rashid Khan,30,31,1,9,1,1,103.3,30.0,6.7,0.833
A Badoni,SM Curran,14,18,1,4,0,1,128.6,28.6,7.1,0.857
A Badoni,SP Narine,48,42,3,20,3,1,87.5,41.7,8.3,0.5
A Badoni,Sandeep Sharma,12,21,0,1,3,0,175.0,8.3,25.0,1.75
A Badoni,Suyash Sharma,12,18,0,2,2,0,150.0,16.7,16.7,1.5
A Badoni,T Natarajan,20,38,1,5,7,0,190.0,25.0,35.0,1.6
A Badoni,TA Boult,13,7,3,7,0,0,53.8,53.8,0.0,-0.847
A Badoni,TU Deshpande,19,23,2,6,2,0,121.1,31.6,10.5,0.579
A Badoni,Vijaykumar Vyshak,18,43,1,6,5,3,238.9,33.3,44.4,2.056
A Badoni,YS Chahal,19,18,3,7,0,1,94.7,36.8,5.3,-0.0
A Manohar,AR Patel,12,12,0,5,0,1,100.0,41.7,8.3,1.0
A Manohar,B Kumar,11,16,1,4,1,1,145.5,36.4,18.2,0.91
A Manohar,JJ Bumrah,12,16,0,5,1,1,133.3,41.7,16.7,1.333
A Manohar,KK Ahmed,10,2,1,8,0,0,20.0,80.0,0.0,-0.4
A Manohar,Kuldeep Yadav,19,13,1,7,0,0,68.4,36.8,0.0,0.368
A Manohar,MJ Santner,12,5,0,7,0,0,41.7,58.3,0.0,0.417
A Manohar,PP Chawla,10,19,0,2,2,1,190.0,20.0,30.0,1.9
A Manohar,TA Boult,11,25,1,2,0,3,227.3,18.2,27.3,1.728
A Manohar,YS Chahal,12,23,1,2,1,2,191.7,16.7,25.0,1.417
A Mhatre,B Kumar,14,38,1,4,6,2,271.4,28.6,57.1,2.285
