season,total_runs,total_matches,total_wickets,runs_per_match,wickets_per_match
2007,17937,58,690,309.3,11.9
2009,35236,117,1423,301.2,12.2
2011,21154,73,813,289.8,11.1
2012,22453,74,858,303.4,11.6
2013,22602,76,912,297.4,12.0
2014,18931,60,674,315.5,11.2
2015,18353,59,691,311.1,11.7
2016,18862,60,666,314.4,11.1
2017,18786,59,711,318.4,12.1
2018,19901,60,722,331.7,12.0
2019,19434,60,685,323.9,11.4
2020,19416,60,677,323.6,11.3
2021,18637,60,717,310.6,12.0
2022,24395,74,912,329.7,12.3
2023,25688,74,916,347.1,12.4
2024,25971,71,883,365.8,12.4
2025,26527,74,873,358.5,11.8
2026,25851,70,827,369.3,11.8
