venue,total_runs,total_balls,total_wickets,total_matches,avg_runs_per_match,economy,wickets_per_match,run_score,wicket_score,batting_bias
Arun Jaitley Stadium,34218,23660,1217,104,329.0,8.68,11.7,0.4881720430107528,0.4845360824742268,0.499
Brabourne Stadium,9305,6240,331,27,344.6,8.95,12.26,0.8236559139784951,0.7731958762886597,0.585
Dr DY Patil Sports Academy,11383,8518,470,37,307.6,8.02,12.7,0.0279569892473121,1.0,0.017
Dubai International Cricket Stadium,14450,10816,545,46,314.1,8.02,11.85,0.1677419354838711,0.5618556701030926,0.276
Eden Gardens,34441,24036,1230,107,321.9,8.6,11.5,0.3354838709677414,0.3814432989690726,0.449
Ekana Stadium Lucknow,9735,6606,347,29,335.7,8.84,11.97,0.6322580645161286,0.623711340206186,0.53
M Chinnaswamy Stadium,34320,23168,1222,104,330.0,8.89,11.75,0.5096774193548388,0.5103092783505154,0.502
MA Chidambaram Stadium,31188,22937,1183,98,318.2,8.16,12.07,0.2559139784946236,0.6752577319587632,0.283
MCA Stadium Pune,15643,11835,617,51,306.7,7.93,12.1,0.0086021505376336,0.6907216494845363,0.129
"Narendra Modi Stadium, Ahmedabad",14112,9167,504,40,352.8,9.24,12.6,1.0,0.9484536082474228,0.621
PCA Stadium Mohali,19864,14030,690,61,325.6,8.49,11.31,0.4150537634408602,0.283505154639176,0.536
Rajiv Gandhi Intl Stadium,29124,20633,1052,90,323.6,8.47,11.69,0.3720430107526882,0.4793814432989691,0.431
Sawai Mansingh Stadium,22093,15566,732,68,324.9,8.52,10.76,0.3999999999999994,0.0,0.64
Sharjah Cricket Stadium,8583,6443,322,28,306.5,7.99,11.5,0.0043010752688168,0.3814432989690726,0.25
Sheikh Zayed Stadium,11332,8513,422,37,306.3,7.99,11.41,0.0,0.3350515463917531,0.266
Wankhede Stadium,44260,30511,1590,132,335.3,8.7,12.05,0.623655913978495,0.6649484536082486,0.508
